SVG: path unhandled attribute: 'line-height' : 'normal'
SVG: group unhandled attribute: 'font-family' : 'Sans'
SVG: group unhandled attribute: 'font-size' : '300'
SVG: group unhandled attribute: 'font-weight' : 'bold'
SVG: group unhandled attribute: 'letter-spacing' : '0'
SVG: group unhandled attribute: 'word-spacing' : '0'
SVG: group unhandled attribute: 'font-family' : 'Sans'
SVG: group unhandled attribute: 'font-size' : '300'
SVG: group unhandled attribute: 'font-weight' : 'bold'
SVG: group unhandled attribute: 'letter-spacing' : '0'
SVG: group unhandled attribute: 'word-spacing' : '0'
SVG: group unhandled attribute: 'font-family' : 'Sans'
SVG: group unhandled attribute: 'font-size' : '300'
SVG: group unhandled attribute: 'font-weight' : 'bold'
SVG: group unhandled attribute: 'letter-spacing' : '0'
SVG: group unhandled attribute: 'word-spacing' : '0'
